"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"752","RT @NitinRa50818889: @RahulGandhi If you would like to give NYAY to the people of India, you must retain old pension scheme to the governme…",FALSE,0,NA,2020-06-01 11:46:20,FALSE,NA,"1267422225885429762",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DevendraGothwa4",5,TRUE,FALSE,NA,NA
"753","RT @janakbhatt16: HOPE THE BLUFF MASTERS, @priyankagandhi @RahulGandhi  OF INTOLERANCE @INCIndia WILL REPLY ON THIS TO THE P'PL OF THE NATI…",FALSE,0,NA,2020-06-01 11:46:19,FALSE,NA,"1267422220516646912",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","neetu29610700",1,TRUE,FALSE,NA,NA
"754","@INCIndia Still modi must be celebrated..<U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F621><U+0001F621> @narendramodi @RahulGandhi",FALSE,0,"INCIndia",2020-06-01 11:46:17,FALSE,"1267401758986256385","1267422212199505922","1153045459","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SunilMi65154911",0,FALSE,FALSE,NA,NA
"755","@cnnbrk @nytimes @BBCWorld @washingtonpost @BostonGlobe @UN @TimesofIsrael @Mediapart @RahulGandhi this is another… https://t.co/5fkbuSKs98",FALSE,0,"cnnbrk",2020-06-01 11:46:17,TRUE,NA,"1267422211280961537","428333","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vaishalimuzuda",0,FALSE,FALSE,NA,NA
"756","RT @RahulGandhi: The violence in this video is not isolated. It’s an expression of what many Indian women have always faced. The violence c…",FALSE,0,NA,2020-06-01 11:46:15,FALSE,NA,"1267422203470966785",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlexGustavos12",15747,TRUE,FALSE,NA,NA
"757","RT @HariSin26192277: Honourable
@ashokgehlot51
@RahulGandhi
@SachinPilot
It is necessary to promote 'brain gain ' in education.
Principal_…",FALSE,0,NA,2020-06-01 11:46:14,FALSE,NA,"1267422200686051328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Devaram80608792",18,TRUE,FALSE,NA,NA
"758","RT @BHEEKHARAM81: Honourable
@ashokgehlot51
@RahulGandhi
@SachinPilot
It is necessary to promote 'brain gain ' in education.
Principal_
#<U+092A>…",FALSE,0,NA,2020-06-01 11:46:09,FALSE,NA,"1267422178057891840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SarojBeniwal5",48,TRUE,FALSE,NA,NA
"759","RT @Karnara01928088: Honourable
@ashokgehlot51
@RahulGandhi
@SachinPilot
It is necessary to promote 'brain gain ' in education.
Principal_…",FALSE,0,NA,2020-06-01 11:46:08,FALSE,NA,"1267422175679721473",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Sanjeev16849760",23,TRUE,FALSE,NA,NA
"760","RT @VinayDokania: People of #Amethi have put up posters of their Missing MP @smritiirani.

All her lies and jumlas have been exposed. Despi…",FALSE,0,NA,2020-06-01 11:46:06,FALSE,NA,"1267422163935662080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abizer_786",47,TRUE,FALSE,NA,NA
"761","RT @BHEEKHARAM81: Honourable
@ashokgehlot51
@RahulGandhi
@SachinPilot
It is necessary to promote 'brain gain ' in education.
Principal_
#<U+092A>…",FALSE,0,NA,2020-06-01 11:46:04,FALSE,NA,"1267422158566850560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JR32759898",48,TRUE,FALSE,NA,NA
